Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,1345
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,1524
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,3580
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,2877
2019-01-01,1,Ciutat Vella,1,el Raval,3,1005,2478
2019-01-01,1,Ciutat Vella,1,el Raval,3,1006,1626
2019-01-01,1,Ciutat Vella,1,el Raval,3,1007,1983
2019-01-01,1,Ciutat Vella,1,el Raval,4,1008,3318
2019-01-01,1,Ciutat Vella,1,el Raval,4,1009,2278
2019-01-01,1,Ciutat Vella,1,el Raval,4,1010,2441
2019-01-01,1,Ciutat Vella,1,el Raval,5,1011,3209
2019-01-01,1,Ciutat Vella,1,el Raval,5,1012,1931
2019-01-01,1,Ciutat Vella,1,el Raval,5,1013,1447
2019-01-01,1,Ciutat Vella,1,el Raval,6,1014,2075
2019-01-01,1,Ciutat Vella,1,el Raval,6,1015,2398
2019-01-01,1,Ciutat Vella,1,el Raval,6,1016,2248
2019-01-01,1,Ciutat Vella,1,el Raval,6,1017,2590
2019-01-01,1,Ciutat Vella,1,el Raval,7,1018,1605
2019-01-01,1,Ciutat Vella,1,el Raval,7,1019,2995
2019-01-01,1,Ciutat Vella,1,el Raval,7,1020,2144
2019-01-01,1,Ciutat Vella,1,el Raval,8,1021,2118
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1298
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,2131
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1301
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,5331
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1646
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1923
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1457
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2498
2019-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1595
2019-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1844
2019-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1167
2019-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,955
2019-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1320
2019-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1205
2019-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1431
2019-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1500
2019-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1315
2019-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1102
2019-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1531
2019-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1803
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1675
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1455
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1973
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1832
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1742
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,2103
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1600
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1582
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1823
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,2861
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1841
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1322
2019-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1361
2019-01-01,2,Eixample,5,el Fort Pienc,20,2001,1309
2019-01-01,2,Eixample,5,el Fort Pienc,20,2002,2835
2019-01-01,2,Eixample,5,el Fort Pienc,20,2003,1253
2019-01-01,2,Eixample,5,el Fort Pienc,20,2004,1500
2019-01-01,2,Eixample,5,el Fort Pienc,20,2005,2044
2019-01-01,2,Eixample,5,el Fort Pienc,20,2006,1688
2019-01-01,2,Eixample,5,el Fort Pienc,20,2007,1308
2019-01-01,2,Eixample,5,el Fort Pienc,20,2008,1943
2019-01-01,2,Eixample,5,el Fort Pienc,20,2009,1794
2019-01-01,2,Eixample,5,el Fort Pienc,21,2010,1195
2019-01-01,2,Eixample,5,el Fort Pienc,21,2011,1102
2019-01-01,2,Eixample,5,el Fort Pienc,21,2012,1536
2019-01-01,2,Eixample,5,el Fort Pienc,21,2013,1156
2019-01-01,2,Eixample,5,el Fort Pienc,22,2014,1374
2019-01-01,2,Eixample,5,el Fort Pienc,22,2015,1561
2019-01-01,2,Eixample,5,el Fort Pienc,22,2016,1886
2019-01-01,2,Eixample,5,el Fort Pienc,22,2017,1994
2019-01-01,2,Eixample,5,el Fort Pienc,22,2018,1854
2019-01-01,2,Eixample,5,el Fort Pienc,22,2019,1937
2019-01-01,2,Eixample,5,el Fort Pienc,22,2020,1469
2019-01-01,2,Eixample,6,la Sagrada Família,23,2021,1518
2019-01-01,2,Eixample,6,la Sagrada Família,23,2022,1288
2019-01-01,2,Eixample,6,la Sagrada Família,23,2023,1094
2019-01-01,2,Eixample,6,la Sagrada Família,23,2024,1138
2019-01-01,2,Eixample,6,la Sagrada Família,24,2025,1165
