Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,1265
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,1595
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,3454
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,2906
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,2506
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,1661
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,2097
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,3324
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,2165
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,2504
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,3230
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,1908
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,1405
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,2010
2017-01-01,1,Ciutat Vella,1,el Raval,6,1015,2356
2017-01-01,1,Ciutat Vella,1,el Raval,6,1016,2208
2017-01-01,1,Ciutat Vella,1,el Raval,6,1017,2619
2017-01-01,1,Ciutat Vella,1,el Raval,7,1018,1657
2017-01-01,1,Ciutat Vella,1,el Raval,7,1019,2870
2017-01-01,1,Ciutat Vella,1,el Raval,7,1020,2127
2017-01-01,1,Ciutat Vella,1,el Raval,8,1021,2034
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1263
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1983
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1262
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,2653
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1659
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1870
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1415
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2500
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1635
2017-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1775
2017-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1132
2017-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,970
2017-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1328
2017-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1196
