Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,1281
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,1501
2018-01-01,1,Ciutat Vella,1,el Raval,2,1003,3496
2018-01-01,1,Ciutat Vella,1,el Raval,2,1004,2875
2018-01-01,1,Ciutat Vella,1,el Raval,3,1005,2460
2018-01-01,1,Ciutat Vella,1,el Raval,3,1006,1635
2018-01-01,1,Ciutat Vella,1,el Raval,3,1007,1982
2018-01-01,1,Ciutat Vella,1,el Raval,4,1008,3306
2018-01-01,1,Ciutat Vella,1,el Raval,4,1009,2246
2018-01-01,1,Ciutat Vella,1,el Raval,4,1010,2439
2018-01-01,1,Ciutat Vella,1,el Raval,5,1011,3236
2018-01-01,1,Ciutat Vella,1,el Raval,5,1012,1908
2018-01-01,1,Ciutat Vella,1,el Raval,5,1013,1434
2018-01-01,1,Ciutat Vella,1,el Raval,6,1014,2049
2018-01-01,1,Ciutat Vella,1,el Raval,6,1015,2376
2018-01-01,1,Ciutat Vella,1,el Raval,6,1016,2183
2018-01-01,1,Ciutat Vella,1,el Raval,6,1017,2518
2018-01-01,1,Ciutat Vella,1,el Raval,7,1018,1656
2018-01-01,1,Ciutat Vella,1,el Raval,7,1019,2845
2018-01-01,1,Ciutat Vella,1,el Raval,7,1020,2069
2018-01-01,1,Ciutat Vella,1,el Raval,8,1021,2019
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1276
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1982
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1247
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,3677
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1629
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1812
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1386
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2482
2018-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1544
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1794
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1127
2018-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,929
2018-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1292
2018-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1199
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1445
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1468
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1279
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1102
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1455
2018-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1803
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1617
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1456
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1950
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1747
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1727
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,2051
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1564
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1554
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1767
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,2694
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1862
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1283
2018-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1333
2018-01-01,2,Eixample,5,el Fort Pienc,20,2001,1315
2018-01-01,2,Eixample,5,el Fort Pienc,20,2002,2526
2018-01-01,2,Eixample,5,el Fort Pienc,20,2003,1263
2018-01-01,2,Eixample,5,el Fort Pienc,20,2004,1488
2018-01-01,2,Eixample,5,el Fort Pienc,20,2005,2037
2018-01-01,2,Eixample,5,el Fort Pienc,20,2006,1661
2018-01-01,2,Eixample,5,el Fort Pienc,20,2007,1281
2018-01-01,2,Eixample,5,el Fort Pienc,20,2008,1925
2018-01-01,2,Eixample,5,el Fort Pienc,20,2009,1771
2018-01-01,2,Eixample,5,el Fort Pienc,21,2010,1194
2018-01-01,2,Eixample,5,el Fort Pienc,21,2011,1093
2018-01-01,2,Eixample,5,el Fort Pienc,21,2012,1551
2018-01-01,2,Eixample,5,el Fort Pienc,21,2013,1151
2018-01-01,2,Eixample,5,el Fort Pienc,22,2014,1359
2018-01-01,2,Eixample,5,el Fort Pienc,22,2015,1573
2018-01-01,2,Eixample,5,el Fort Pienc,22,2016,1872
2018-01-01,2,Eixample,5,el Fort Pienc,22,2017,1977
2018-01-01,2,Eixample,5,el Fort Pienc,22,2018,1861
2018-01-01,2,Eixample,5,el Fort Pienc,22,2019,1866
2018-01-01,2,Eixample,5,el Fort Pienc,22,2020,1406
2018-01-01,2,Eixample,6,la Sagrada Família,23,2021,1497
2018-01-01,2,Eixample,6,la Sagrada Família,23,2022,1293
2018-01-01,2,Eixample,6,la Sagrada Família,23,2023,1103
2018-01-01,2,Eixample,6,la Sagrada Família,23,2024,1089
2018-01-01,2,Eixample,6,la Sagrada Família,24,2025,1168
2018-01-01,2,Eixample,6,la Sagrada Família,24,2026,2165
2018-01-01,2,Eixample,6,la Sagrada Família,24,2027,1949
2018-01-01,2,Eixample,6,la Sagrada Família,24,2028,2050
2018-01-01,2,Eixample,6,la Sagrada Família,24,2029,1275
2018-01-01,2,Eixample,6,la Sagrada Família,24,2030,1310
2018-01-01,2,Eixample,6,la Sagrada Família,24,2031,1072
2018-01-01,2,Eixample,6,la Sagrada Família,24,2032,1212
2018-01-01,2,Eixample,6,la Sagrada Família,25,2033,1179
2018-01-01,2,Eixample,6,la Sagrada Família,25,2034,1233
2018-01-01,2,Eixample,6,la Sagrada Família,25,2035,1325
2018-01-01,2,Eixample,6,la Sagrada Família,25,2036,1222
2018-01-01,2,Eixample,6,la Sagrada Família,25,2037,1229
2018-01-01,2,Eixample,6,la Sagrada Família,25,2038,1584
2018-01-01,2,Eixample,6,la Sagrada Família,25,2039,1749
2018-01-01,2,Eixample,6,la Sagrada Família,25,2040,1655
2018-01-01,2,Eixample,6,la Sagrada Família,26,2041,1658
2018-01-01,2,Eixample,6,la Sagrada Família,26,2042,1630
2018-01-01,2,Eixample,6,la Sagrada Família,26,2043,1457
2018-01-01,2,Eixample,6,la Sagrada Família,26,2044,1221
2018-01-01,2,Eixample,6,la Sagrada Família,26,2045,1160
2018-01-01,2,Eixample,6,la Sagrada Família,26,2046,1905
2018-01-01,2,Eixample,6,la Sagrada Família,26,2047,1914
2018-01-01,2,Eixample,6,la Sagrada Família,26,2048,1277
2018-01-01,2,Eixample,6,la Sagrada Família,27,2049,2119
2018-01-01,2,Eixample,6,la Sagrada Família,27,2050,1613
2018-01-01,2,Eixample,6,la Sagrada Família,27,2051,1832
2018-01-01,2,Eixample,6,la Sagrada Família,27,2052,1787
2018-01-01,2,Eixample,6,la Sagrada Família,27,2053,1855
2018-01-01,2,Eixample,6,la Sagrada Família,27,2054,1874
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2055,1843
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2056,1457
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2057,1306
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2058,1388
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2059,1637
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,28,2060,1671
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2061,1372
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2062,1529
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2063,1217
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2064,1348
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,29,2065,1891
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2066,1798
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2067,1676
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2068,1647
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,30,2069,1369
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2070,1323
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2071,1709
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,31,2072,1236
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2073,1686
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2074,1261
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2075,1238
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,32,2076,1688
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,33,2077,1539
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,34,2078,1400
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,34,2079,1308
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,35,2080,1450
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,35,2081,2130
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,36,2082,917
2018-01-01,2,Eixample,7,la Dreta de l'Eixample,36,2083,1819
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2084,2058
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2085,1484
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2086,1442
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,1439
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,1646
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,1898
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,1717
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,1885
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,2166
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,1589
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,1425
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,1507
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,1429
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,1080
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,1515
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,1576
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2100,1388
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2101,2187
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2102,1398
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2103,1676
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2104,1158
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42,2105,2133
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2106,1454
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2107,1615
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2108,1614
2018-01-01,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43,2109,2055
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2110,1912
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2111,1805
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2112,1323
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2113,2259
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,44,2114,1679
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2115,1360
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2116,1033
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2117,1208
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2118,1499
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2119,1278
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2120,1192
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2121,1258
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2122,1065
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,45,2123,1145
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2124,1065
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2125,1692
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2126,1437
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2127,1159
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2128,1303
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,46,2129,1538
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,47,2130,1152
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,47,2131,1212
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,47,2132,1164
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,47,2133,878
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,47,2134,1421
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,47,2135,2112
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,47,2136,913
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,48,2137,1473
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,48,2138,1969
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,48,2139,1625
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,48,2140,1917
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,48,2141,1260
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,49,2142,1971
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,49,2143,1340
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,49,2144,1572
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,49,2145,1297
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,50,2146,1164
2018-01-01,2,Eixample,9,la Nova Esquerra de l'Eixample,50,2147,2172
