Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,1309
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,1546
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,3420
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,2753
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,2481
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,1549
2016-01-01,1,Ciutat Vella,1,el Raval,3,1007,2050
2016-01-01,1,Ciutat Vella,1,el Raval,4,1008,3447
2016-01-01,1,Ciutat Vella,1,el Raval,4,1009,2151
2016-01-01,1,Ciutat Vella,1,el Raval,4,1010,2482
2016-01-01,1,Ciutat Vella,1,el Raval,5,1011,3302
2016-01-01,1,Ciutat Vella,1,el Raval,5,1012,1878
2016-01-01,1,Ciutat Vella,1,el Raval,5,1013,1352
2016-01-01,1,Ciutat Vella,1,el Raval,6,1014,1936
2016-01-01,1,Ciutat Vella,1,el Raval,6,1015,2270
2016-01-01,1,Ciutat Vella,1,el Raval,6,1016,2204
2016-01-01,1,Ciutat Vella,1,el Raval,6,1017,2625
2016-01-01,1,Ciutat Vella,1,el Raval,7,1018,1577
2016-01-01,1,Ciutat Vella,1,el Raval,7,1019,2810
2016-01-01,1,Ciutat Vella,1,el Raval,7,1020,2072
2016-01-01,1,Ciutat Vella,1,el Raval,8,1021,1982
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1209
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1943
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1281
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,2358
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1611
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1895
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1376
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2453
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1603
2016-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1777
2016-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1138
2016-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,1001
2016-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1326
2016-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1172
2016-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1474
2016-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1501
2016-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1295
2016-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1109
2016-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1474
2016-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1801
2016-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1286
2016-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1448
2016-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1979
2016-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1743
