Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2015-01-01,1,Ciutat Vella,1,el Raval,1,12659.06
2015-01-01,1,Ciutat Vella,1,el Raval,2,10270.68
2015-01-01,1,Ciutat Vella,1,el Raval,3,9887.87
2015-01-01,1,Ciutat Vella,1,el Raval,4,12906.83
2015-01-01,1,Ciutat Vella,1,el Raval,5,10414.04
2015-01-01,1,Ciutat Vella,1,el Raval,6,11801.14
2015-01-01,1,Ciutat Vella,1,el Raval,7,10796.26
2015-01-01,1,Ciutat Vella,1,el Raval,8,8663.84
2015-01-01,1,Ciutat Vella,1,el Raval,9,11703.31
2015-01-01,1,Ciutat Vella,1,el Raval,10,9696.37
2015-01-01,1,Ciutat Vella,1,el Raval,11,9507.57
2015-01-01,1,Ciutat Vella,1,el Raval,12,12227.76
2015-01-01,1,Ciutat Vella,1,el Raval,13,13079.04
2015-01-01,1,Ciutat Vella,1,el Raval,14,11673.82
2015-01-01,1,Ciutat Vella,1,el Raval,15,12091.97
2015-01-01,1,Ciutat Vella,1,el Raval,16,11704.14
2015-01-01,1,Ciutat Vella,1,el Raval,17,10667.89
2015-01-01,1,Ciutat Vella,1,el Raval,18,11120.05
2015-01-01,1,Ciutat Vella,1,el Raval,19,10528.2
2015-01-01,1,Ciutat Vella,1,el Raval,20,16559.72
2015-01-01,1,Ciutat Vella,1,el Raval,21,16652.15
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,22,20463.16
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,23,18299.99
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,25,15235.62
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,26,14337.03
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,27,14708.88
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,28,15267.06
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,29,13183.81
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,30,13370.82
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,31,13880.0
2015-01-01,1,Ciutat Vella,3,la Barceloneta,32,16718.4
2015-01-01,1,Ciutat Vella,3,la Barceloneta,33,14096.81
2015-01-01,1,Ciutat Vella,3,la Barceloneta,34,13824.25
2015-01-01,1,Ciutat Vella,3,la Barceloneta,35,13882.09
2015-01-01,1,Ciutat Vella,3,la Barceloneta,36,14769.14
2015-01-01,1,Ciutat Vella,3,la Barceloneta,37,14032.94
2015-01-01,1,Ciutat Vella,3,la Barceloneta,38,13646.77
2015-01-01,1,Ciutat Vella,3,la Barceloneta,39,15471.25
2015-01-01,1,Ciutat Vella,3,la Barceloneta,40,16190.46
2015-01-01,1,Ciutat Vella,3,la Barceloneta,41,13759.31
2015-01-01,1,Ciutat Vella,3,la Barceloneta,42,16031.7
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,20052.48
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,19506.13
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,15971.24
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,14362.93
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,13891.2
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,11554.76
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,15919.87
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,15250.76
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,13069.37
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,18130.49
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,14038.16
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,14444.73
2015-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,19159.19
2015-01-01,2,Eixample,5,el Fort Pienc,1,20371.52
2015-01-01,2,Eixample,5,el Fort Pienc,2,18693.15
2015-01-01,2,Eixample,5,el Fort Pienc,3,22603.76
2015-01-01,2,Eixample,5,el Fort Pienc,4,17277.67
2015-01-01,2,Eixample,5,el Fort Pienc,5,23242.97
2015-01-01,2,Eixample,5,el Fort Pienc,6,23294.5
2015-01-01,2,Eixample,5,el Fort Pienc,7,24729.47
2015-01-01,2,Eixample,5,el Fort Pienc,8,22077.36
2015-01-01,2,Eixample,5,el Fort Pienc,9,21718.11
2015-01-01,2,Eixample,5,el Fort Pienc,10,21170.59
2015-01-01,2,Eixample,5,el Fort Pienc,11,22921.2
2015-01-01,2,Eixample,5,el Fort Pienc,12,18229.0
2015-01-01,2,Eixample,5,el Fort Pienc,13,18555.28
2015-01-01,2,Eixample,5,el Fort Pienc,14,17210.82
2015-01-01,2,Eixample,5,el Fort Pienc,15,18477.95
2015-01-01,2,Eixample,5,el Fort Pienc,16,22865.58
2015-01-01,2,Eixample,5,el Fort Pienc,17,22432.73
2015-01-01,2,Eixample,5,el Fort Pienc,18,23121.34
2015-01-01,2,Eixample,5,el Fort Pienc,19,20785.87
2015-01-01,2,Eixample,5,el Fort Pienc,20,19357.69
2015-01-01,2,Eixample,6,la Sagrada Família,21,20342.17
2015-01-01,2,Eixample,6,la Sagrada Família,22,21301.64
2015-01-01,2,Eixample,6,la Sagrada Família,23,21438.32
2015-01-01,2,Eixample,6,la Sagrada Família,24,19583.12
2015-01-01,2,Eixample,6,la Sagrada Família,25,20573.21
2015-01-01,2,Eixample,6,la Sagrada Família,26,21069.5
2015-01-01,2,Eixample,6,la Sagrada Família,27,22621.92
2015-01-01,2,Eixample,6,la Sagrada Família,28,21152.74
2015-01-01,2,Eixample,6,la Sagrada Família,29,19084.68
2015-01-01,2,Eixample,6,la Sagrada Família,30,17475.64
2015-01-01,2,Eixample,6,la Sagrada Família,31,24324.17
2015-01-01,2,Eixample,6,la Sagrada Família,32,21523.13
2015-01-01,2,Eixample,6,la Sagrada Família,33,20793.87
2015-01-01,2,Eixample,6,la Sagrada Família,34,18291.17
2015-01-01,2,Eixample,6,la Sagrada Família,35,20891.82
2015-01-01,2,Eixample,6,la Sagrada Família,36,23610.2
2015-01-01,2,Eixample,6,la Sagrada Família,37,23223.22
2015-01-01,2,Eixample,6,la Sagrada Família,38,23511.95
2015-01-01,2,Eixample,6,la Sagrada Família,39,19480.07
2015-01-01,2,Eixample,6,la Sagrada Família,40,18982.06
2015-01-01,2,Eixample,6,la Sagrada Família,41,20893.91
2015-01-01,2,Eixample,6,la Sagrada Família,42,23631.86
2015-01-01,2,Eixample,6,la Sagrada Família,43,22394.65
2015-01-01,2,Eixample,6,la Sagrada Família,44,18813.04
2015-01-01,2,Eixample,6,la Sagrada Família,45,22084.91
2015-01-01,2,Eixample,6,la Sagrada Família,46,19398.13
2015-01-01,2,Eixample,6,la Sagrada Família,47,20382.64
2015-01-01,2,Eixample,6,la Sagrada Família,48,20677.17
2015-01-01,2,Eixample,6,la Sagrada Família,49,19319.04
2015-01-01,2,Eixample,6,la Sagrada Família,50,20332.05
2015-01-01,2,Eixample,6,la Sagrada Família,51,20708.6
2015-01-01,2,Eixample,6,la Sagrada Família,52,20181.09
2015-01-01,2,Eixample,6,la Sagrada Família,53,21148.65
2015-01-01,2,Eixample,6,la Sagrada Família,54,22327.75
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,55,22999.77
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,56,22792.46
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,57,26701.25
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,58,24503.45
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,59,25770.3
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,60,23479.69
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,61,20827.92
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,62,24840.37
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,63,31771.37
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,64,28352.26
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,65,24232.53
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,66,24047.11
2015-01-01,2,Eixample,7,la Dreta de l'Eixample,67,21073.44
