Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2017-01-01,1,Ciutat Vella,1,el Raval,1,14262.59
2017-01-01,1,Ciutat Vella,1,el Raval,2,10980.91
2017-01-01,1,Ciutat Vella,1,el Raval,3,10942.35
2017-01-01,1,Ciutat Vella,1,el Raval,4,13885.67
2017-01-01,1,Ciutat Vella,1,el Raval,5,10937.17
2017-01-01,1,Ciutat Vella,1,el Raval,6,12893.02
2017-01-01,1,Ciutat Vella,1,el Raval,7,12196.82
2017-01-01,1,Ciutat Vella,1,el Raval,8,9392.85
2017-01-01,1,Ciutat Vella,1,el Raval,9,11347.03
2017-01-01,1,Ciutat Vella,1,el Raval,10,10399.55
2017-01-01,1,Ciutat Vella,1,el Raval,11,9725.81
2017-01-01,1,Ciutat Vella,1,el Raval,12,12499.77
2017-01-01,1,Ciutat Vella,1,el Raval,13,13353.2
2017-01-01,1,Ciutat Vella,1,el Raval,14,12454.0
2017-01-01,1,Ciutat Vella,1,el Raval,15,12124.93
2017-01-01,1,Ciutat Vella,1,el Raval,16,11691.45
2017-01-01,1,Ciutat Vella,1,el Raval,17,11376.7
2017-01-01,1,Ciutat Vella,1,el Raval,18,11737.36
2017-01-01,1,Ciutat Vella,1,el Raval,19,11419.5
2017-01-01,1,Ciutat Vella,1,el Raval,20,19163.88
2017-01-01,1,Ciutat Vella,1,el Raval,21,17659.6
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,22,21438.39
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,23,18507.08
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,25,17598.56
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,26,15596.64
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,27,17104.62
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,28,15562.18
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,29,14462.72
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,30,13776.68
2017-01-01,1,Ciutat Vella,2,el Barri Gòtic,31,15052.65
2017-01-01,1,Ciutat Vella,3,la Barceloneta,32,17887.46
2017-01-01,1,Ciutat Vella,3,la Barceloneta,33,14598.43
2017-01-01,1,Ciutat Vella,3,la Barceloneta,34,14865.4
2017-01-01,1,Ciutat Vella,3,la Barceloneta,35,14182.7
2017-01-01,1,Ciutat Vella,3,la Barceloneta,36,15353.02
2017-01-01,1,Ciutat Vella,3,la Barceloneta,37,14968.66
2017-01-01,1,Ciutat Vella,3,la Barceloneta,38,13514.53
2017-01-01,1,Ciutat Vella,3,la Barceloneta,39,16011.04
2017-01-01,1,Ciutat Vella,3,la Barceloneta,40,16405.73
2017-01-01,1,Ciutat Vella,3,la Barceloneta,41,14740.35
2017-01-01,1,Ciutat Vella,3,la Barceloneta,42,16158.98
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,21138.41
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,19921.06
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,16922.98
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,15453.97
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,15569.86
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,12966.5
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,16300.65
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,16404.56
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,13842.59
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,22199.12
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,15455.92
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,17437.15
2017-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,20106.81
2017-01-01,2,Eixample,5,el Fort Pienc,1,20850.52
2017-01-01,2,Eixample,5,el Fort Pienc,2,20410.61
2017-01-01,2,Eixample,5,el Fort Pienc,3,24676.22
2017-01-01,2,Eixample,5,el Fort Pienc,4,17693.89
2017-01-01,2,Eixample,5,el Fort Pienc,5,23779.65
2017-01-01,2,Eixample,5,el Fort Pienc,6,25151.33
2017-01-01,2,Eixample,5,el Fort Pienc,7,25477.98
2017-01-01,2,Eixample,5,el Fort Pienc,8,23450.39
2017-01-01,2,Eixample,5,el Fort Pienc,9,22161.65
2017-01-01,2,Eixample,5,el Fort Pienc,10,21352.25
2017-01-01,2,Eixample,5,el Fort Pienc,11,24285.83
2017-01-01,2,Eixample,5,el Fort Pienc,12,18940.55
2017-01-01,2,Eixample,5,el Fort Pienc,13,19348.56
2017-01-01,2,Eixample,5,el Fort Pienc,14,17738.95
2017-01-01,2,Eixample,5,el Fort Pienc,15,18186.17
2017-01-01,2,Eixample,5,el Fort Pienc,16,23285.95
2017-01-01,2,Eixample,5,el Fort Pienc,17,23394.58
2017-01-01,2,Eixample,5,el Fort Pienc,18,24204.62
2017-01-01,2,Eixample,5,el Fort Pienc,19,21762.0
2017-01-01,2,Eixample,5,el Fort Pienc,20,19850.37
2017-01-01,2,Eixample,6,la Sagrada Família,21,20347.98
2017-01-01,2,Eixample,6,la Sagrada Família,22,20485.62
2017-01-01,2,Eixample,6,la Sagrada Família,23,22092.53
2017-01-01,2,Eixample,6,la Sagrada Família,24,20015.59
2017-01-01,2,Eixample,6,la Sagrada Família,25,18872.81
2017-01-01,2,Eixample,6,la Sagrada Família,26,21164.32
2017-01-01,2,Eixample,6,la Sagrada Família,27,22904.34
2017-01-01,2,Eixample,6,la Sagrada Família,28,21155.3
2017-01-01,2,Eixample,6,la Sagrada Família,29,20880.99
2017-01-01,2,Eixample,6,la Sagrada Família,30,16964.98
2017-01-01,2,Eixample,6,la Sagrada Família,31,24047.08
