Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2016-01-01,1,Ciutat Vella,1,el Raval,1,13474.77
2016-01-01,1,Ciutat Vella,1,el Raval,2,9879.78
2016-01-01,1,Ciutat Vella,1,el Raval,3,10184.75
2016-01-01,1,Ciutat Vella,1,el Raval,4,12972.66
2016-01-01,1,Ciutat Vella,1,el Raval,5,10307.27
2016-01-01,1,Ciutat Vella,1,el Raval,6,12364.42
2016-01-01,1,Ciutat Vella,1,el Raval,7,11185.25
2016-01-01,1,Ciutat Vella,1,el Raval,8,9112.44
2016-01-01,1,Ciutat Vella,1,el Raval,9,11399.69
2016-01-01,1,Ciutat Vella,1,el Raval,10,10320.89
2016-01-01,1,Ciutat Vella,1,el Raval,11,9134.33
2016-01-01,1,Ciutat Vella,1,el Raval,12,12377.26
2016-01-01,1,Ciutat Vella,1,el Raval,13,13309.01
2016-01-01,1,Ciutat Vella,1,el Raval,14,11592.01
2016-01-01,1,Ciutat Vella,1,el Raval,15,12046.17
2016-01-01,1,Ciutat Vella,1,el Raval,16,11414.56
2016-01-01,1,Ciutat Vella,1,el Raval,17,10510.28
2016-01-01,1,Ciutat Vella,1,el Raval,18,11107.01
2016-01-01,1,Ciutat Vella,1,el Raval,19,10951.48
2016-01-01,1,Ciutat Vella,1,el Raval,20,17996.86
2016-01-01,1,Ciutat Vella,1,el Raval,21,16895.49
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,22,21476.75
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,23,18708.79
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,25,16053.77
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,26,15293.16
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,27,14883.29
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,28,15296.1
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,29,13374.24
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,30,13777.4
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,31,14167.0
2016-01-01,1,Ciutat Vella,3,la Barceloneta,32,17694.31
2016-01-01,1,Ciutat Vella,3,la Barceloneta,33,13495.45
2016-01-01,1,Ciutat Vella,3,la Barceloneta,34,13904.8
